月,世帯人員(人),消費支出,消費支出(除く住居等※),食料,住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,その他の消費支出,その他うち諸雑費,財・サービス支出計,財(商品),耐久財,半耐久財,非耐久財,サービス,世帯人員,実収入,可処分所得,消費支出,平均消費性向,世帯人員,消費支出,世帯人員,消費支出,3) 消 費 者 物価指数(持家の 帰属家賃を除く総合）
2017/2,2.98,"260,644","226,751","69,271","15,549","26,787","8,464","8,498","12,629","37,611","11,931","25,219","44,684","22,190","238,149","137,749","15,597","17,193","104,959","100,400",3.37,"484,038","402,541","298,092",74.1,2.60,"224,630",2.40,"212,814",99.9
2017/3,2.98,"297,942","252,563","77,973","17,871","25,581","9,474","12,860","12,985","43,918","11,596","31,629","54,054","22,809","266,697","154,933","17,896","23,942","113,094","111,764",3.36,"445,607","363,023","337,075",92.9,2.61,"260,137",2.42,"243,425",100.0
2017/4,2.97,"295,929","255,340","75,542","16,102","23,725","9,367","12,270","12,545","38,546","21,135","30,641","56,055","23,455","263,329","143,698","12,376","22,682","108,640","119,631",3.35,"472,047","384,297","329,949",85.9,2.61,"263,076",2.42,"240,845",100.4
2017/5,2.98,"283,056","245,534","79,733","15,752","20,534","10,951","12,291","12,177","42,412","9,574","30,317","49,315","23,907","257,648","149,576","18,117","22,395","109,063","108,073",3.36,"421,497","308,120","315,194",102.3,2.60,"251,577",2.41,"235,494",100.6
2017/6,2.98,"268,802","233,881","75,144","18,346","18,396","10,853","10,611","13,342","37,491","7,620","28,613","48,387","24,152","244,567","137,939","14,720","20,245","102,974","106,628",3.36,"735,477","593,992","296,653",49.9,2.60,"241,326",2.41,"224,398",100.4
2017/7,2.98,"279,197","244,323","79,446","18,152","17,449","13,826","12,211","12,289","40,281","7,764","29,550","48,229","25,767","256,735","148,257","19,609","22,658","105,991","108,478",3.36,"598,042","480,878","308,818",64.2,2.60,"249,822",2.41,"235,208",100.2
2017/8,2.98,"280,320","246,176","84,048","15,416","19,383","11,504","8,467","12,289","39,774","6,492","33,122","49,824","24,413","254,908","144,066","14,602","18,069","111,394","110,842",3.35,"485,099","401,134","301,574",75.2,2.62,"259,015",2.42,"243,591",100.5
2017/9,2.98,"268,802","233,555","75,605","16,178","18,826","9,956","8,861","12,608","39,104","13,627","27,613","46,423","23,396","245,774","137,839","16,180","18,144","103,514","107,935",3.35,"437,497","358,526","295,211",82.3,2.61,"242,183",2.42,"224,300",100.8
2017/10,2.98,"282,872","242,286","77,152","19,659","18,724","9,895","11,929","13,409","40,421","14,824","27,390","49,469","23,060","256,463","141,722","14,935","21,653","105,134","114,741",3.34,"501,416","415,634","313,733",75.5,2.62,"252,162",2.43,"235,534",100.8
2017/11,2.98,"277,361","241,783","77,440","16,029","19,724","12,037","13,094","14,219","41,650","8,759","28,190","46,217","22,813","253,957","147,830","16,956","24,758","106,117","106,126",3.34,"443,186","361,293","301,164",83.4,2.62,"253,554",2.42,"239,106",101.2
2017/12,2.98,"322,157","285,693","101,416","17,225","24,001","13,409","13,124","14,879","39,688","9,277","33,209","55,929","26,367","292,595","180,818","15,594","27,706","137,519","111,777",3.33,"940,875","783,054","352,076",45.0,2.63,"292,449",2.43,"283,036",101.5
2018/1,2.98,"289,703","249,575","76,847","13,777","28,245","10,094","13,138","13,829","39,170","9,195","27,847","57,559","23,558","255,702","150,529","13,237","24,551","112,741","105,173",3.34,"442,129","360,360","317,659",88.2,2.61,"261,097",2.40,"244,325",101.7
2018/2,2.97,"265,614","232,775","71,693","13,649","29,645","8,539","8,630","12,756","41,790","10,084","25,420","43,408","21,387","243,592","144,654","16,354","17,436","110,864","98,938",3.34,"503,989","420,059","289,177",68.8,2.59,"241,022",2.39,"217,620",101.7
2018/3,2.97,"301,230","258,954","79,310","14,683","26,996","10,268","13,495","14,169","45,775","12,845","30,926","52,762","23,171","271,639","160,755","19,976","24,595","116,183","110,884",3.33,"453,676","373,320","334,998",89.7,2.60,"265,105",2.38,"245,320",101.3
2018/4,2.97,"294,439","255,917","75,487","16,585","23,210","10,146","11,975","12,842","38,501","21,729","29,552","54,411","22,758","262,785","143,793","13,169","22,215","108,410","118,991",3.31,"495,370","405,241","334,967",82.7,2.60,"250,629",2.40,"236,168",101.2
2018/5,2.97,"281,307","244,136","78,126","17,120","20,644","10,223","11,614","12,940","43,330","11,858","29,766","45,684","21,844","257,466","146,717","16,106","22,435","108,176","110,749",3.32,"439,089","324,446","312,354",96.3,2.59,"246,967",2.40,"231,761",101.4
2018/6,2.97,"267,641","231,348","75,629","17,696","17,867","11,567","10,826","12,949","39,298","8,459","26,457","46,893","22,193","242,941","140,578","16,867","20,557","103,154","102,363",3.32,"808,716","654,961","291,998",44.6,2.59,"240,321",2.39,"229,058",101.2
2018/7,2.98,"283,387","244,850","79,391","17,957","17,896","13,531","11,026","13,171","45,062","8,869","28,774","47,710","24,205","259,883","151,383","21,727","21,899","107,756","108,500",3.32,"605,746","485,326","310,031",63.9,2.58,"252,636",2.37,"239,539",101.3
2018/8,2.98,"292,481","254,341","84,541","16,422","19,680","11,614","8,675","13,313","46,687","8,154","32,263","51,132","26,127","267,476","151,702","19,388","19,736","112,578","115,774",3.32,"510,437","422,636","319,939",75.7,2.58,"260,781",2.39,"237,365",102.0
2018/9,2.97,"271,273","238,000","76,499","15,833","19,607","9,855","9,051","11,919","40,066","13,465","27,379","47,599","23,683","247,357","138,057","13,392","18,042","106,623","109,299",3.32,"447,459","365,446","302,652",82.8,2.57,"234,641",2.40,"220,222",102.2
2018/10,2.98,"290,396","252,559","79,016","19,163","19,394","10,788","11,120","13,860","43,161","17,092","28,053","48,749","23,195","264,841","146,020","15,149","22,109","108,762","118,821",3.31,"515,729","428,519","315,433",73.6,2.58,"260,804",2.38,"247,539",102.5
2018/11,2.98,"281,041","243,888","76,828","19,194","18,822","11,847","13,106","13,768","41,891","9,552","28,088","47,943","24,090","257,188","145,369","16,163","23,951","105,256","111,818",3.30,"455,644","371,282","303,516",81.7,2.59,"253,909",2.39,"240,612",102.2
2018/12,2.98,"329,271","288,213","98,805","20,962","22,230","14,654","13,955","14,420","42,431","10,148","34,474","57,192","27,391","299,470","182,677","20,801","28,885","132,991","116,793",3.32,"1,026,628","849,904","351,044",41.3,2.57,"303,084",2.39,"289,858",101.9
2019/1,2.98,"296,345","254,810","75,783","16,278","27,288","10,455","12,639","13,363","41,515","10,884","29,377","58,760","24,396","261,981","149,144","13,944","24,066","111,134","112,836",3.31,"471,124","384,005","325,768",84.8,2.57,"260,117",2.41,"244,934",101.9
2019/2,2.98,"271,232","238,163","71,507","14,347","29,286","9,119","8,906","13,110","44,418","9,652","26,577","44,311","22,285","249,207","146,927","17,930","18,621","110,376","102,281",3.32,"526,271","435,994","302,753",69.4,2.56,"232,692",2.39,"221,886",101.9
